trial,model,selected_preprocessing,best_cv_accuracy,best_params,mnist_accuracy,mnist_macro_f1,mnist_macro_recall,challenge_accuracy,challenge_macro_f1,challenge_macro_recall,model_selection_runtime_seconds
trial_1,knn_1,raw,0.922,{},0.9135,0.9130310118292048,0.9135000000000002,0.66,0.6528978918339172,0.66,7.392359150999937
trial_2,knn_1,raw,0.92,{},0.9185,0.9179322140610332,0.9185,0.7066666666666667,0.6985723286415724,0.7066666666666668,4.825593487999868
trial_1,linear_svm_ova,pca_50,0.8780000000000001,"{""classifier__estimator__C"": 0.1}",0.8765,0.875555538805194,0.8764999999999998,0.54,0.5238369769363683,0.54,4227.590363181999
trial_2,linear_svm_ova,pca_100,0.8815,"{""classifier__estimator__C"": 0.1}",0.858,0.8567271598776308,0.8580000000000002,0.5466666666666666,0.5294030527585514,0.5466666666666666,4199.122731768
trial_1,logistic_regression_ova,minmax,0.8885,"{""classifier__estimator__C"": 0.1}",0.8905,0.8896028077886532,0.8905000000000001,0.6266666666666667,0.6066007254152416,0.6266666666666667,223.72624687199985
trial_2,logistic_regression_ova,minmax,0.892,"{""classifier__estimator__C"": 0.1}",0.8785,0.8776229301944817,0.8785000000000001,0.6266666666666667,0.6086266205089734,0.6266666666666667,213.89760315100105
trial_1,mlp,minmax,0.921,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [256], ""classifier__learning_rate_init"": 0.01}",0.922,0.921812552751636,0.922,0.6933333333333334,0.6851247055307321,0.6933333333333334,310.6502377110028
trial_2,mlp,minmax,0.9215,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [256], ""classifier__learning_rate_init"": 0.01}",0.907,0.9066741148717384,0.907,0.6266666666666667,0.6137376090415578,0.6266666666666667,322.1041755719998
trial_1,random_forest,raw,0.9205,"{""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__n_estimators"": 400}",0.929,0.9289181273188202,0.929,0.6866666666666666,0.6653717152653226,0.6866666666666668,1849.3113707289997
trial_2,random_forest,raw,0.9215,"{""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__n_estimators"": 400}",0.922,0.9217364704986262,0.922,0.72,0.7049703489709955,0.72,1816.9184548420017
trial_1,rbf_svm_ova,raw,0.9485,"{""classifier__estimator__C"": 5.0, ""classifier__estimator__gamma"": ""scale""}",0.948,0.947949892172033,0.948,0.72,0.7081718844762324,0.72,988.783652672002
trial_2,rbf_svm_ova,raw,0.941,"{""classifier__estimator__C"": 5.0, ""classifier__estimator__gamma"": ""scale""}",0.946,0.9457915660332328,0.946,0.78,0.7673324291402385,0.78,980.094516377998
